latitude,longitude,cluster_id,price_spread
37.97673,23.7272,21,-0.04999999999999716
37.9688,23.70979,4,2.3499999999999943
37.9645,23.72635,19,0.7000000000000028
37.9645,23.72635,19,0.45000000000000284
37.9637,23.7228,19,-17.94999999999999
37.98591,23.71312,-1,-18.400000000000006
37.9675,23.72921,19,3.0500000000000114
37.97054,23.74279,3,-4.900000000000006
37.98707,23.73526,7,1.4000000000000057
37.99603,23.72277,-1,5.150000000000006
37.98902,23.74352,-1,-6.25
37.97786,23.72842,21,11.75
37.969,23.72406,19,-6.099999999999994
37.98474,23.73859,8,-9.099999999999994
37.96355,23.72173,19,2.1500000000000057
37.99517,23.77609,-1,-0.9000000000000057
37.96774,23.73272,19,-3.8000000000000114
37.9904,23.73443,7,-1.5500000000000114
37.96582,23.72627,19,3.5
37.96366,23.72349,19,3.4000000000000057
37.96759,23.72896,19,-1.9000000000000057
37.96951,23.74475,3,-12.449999999999989
37.97803,23.75223,1,-9.649999999999999
37.97536,23.71547,5,-14.449999999999989
37.96769,23.73286,19,-9.899999999999977
37.97846,23.72674,21,1.0999999999999943
37.96471,23.71045,-1,-0.5999999999999943
37.9772,23.74321,10,106.95000000000005
37.97837,23.74178,12,42.64999999999998
37.99963,23.71946,-1,-4.200000000000003
37.98813,23.75117,-1,2.3499999999999943
37.99304,23.72884,16,2.5
37.99116,23.72856,16,-1.7999999999999972
37.99367,23.75881,-1,1.7000000000000028
37.99493,23.72803,16,0.09999999999999432
37.97426,23.71471,5,-11.349999999999994
37.96548,23.70987,-1,-0.3499999999999943
37.9777,23.75788,1,4.150000000000006
37.97314,23.71985,5,27.44999999999999
37.97654,23.71817,5,-8.25
37.96614,23.7266,19,16.5
37.99029,23.74022,-1,7.099999999999994
37.96316,23.72962,19,-6.099999999999994
37.97106,23.73292,19,-26.80000000000001
37.96464,23.72558,19,10.300000000000011
37.96388,23.72831,19,-49.14999999999998
37.97477,23.73045,21,5.650000000000006
37.99677,23.74705,-1,-8.25
37.97156,23.7465,3,-7.050000000000011
38.01537,23.72984,-1,20.599999999999994
37.97055,23.70547,-1,-6.150000000000006
37.967506,23.7108,4,-1.0500000000000114
37.99032,23.74416,-1,-3.5999999999999943
37.95819,23.7453,-1,29.600000000000023
37.95985,23.73954,-1,13.900000000000006
37.989,23.72778,14,-13.599999999999994
37.98076,23.73842,12,9.099999999999994
37.98454,23.72635,20,34.5
37.98233,23.7257,21,12.399999999999977
37.97673,23.72746,21,-1.6999999999999886
37.97673,23.72746,21,-0.09999999999999432
37.97156,23.72896,19,-10.849999999999994
37.97416,23.73221,21,0.5499999999999972
37.98468,23.73239,12,8.650000000000006
37.96838,23.72953,19,-8.300000000000011
37.97516,23.73407,21,1.0500000000000114
37.96751,23.7279,19,-11.399999999999977
37.96922,23.73069,19,-12.449999999999989
37.97787,23.74116,12,16.5
37.98611,23.72185,11,-2.8499999999999943
37.97493,23.7344,21,15.300000000000011
37.979,23.72775,21,1.0999999999999943
37.97652,23.71901,5,-32.30000000000001
37.97325,23.7124,5,3.3499999999999943
37.99106,23.75169,-1,1.0999999999999943
37.97434,23.7294,21,-3.0500000000000114
37.96355,23.71944,19,8.699999999999989
37.97506,23.73173,21,1.75
37.95614,23.73653,-1,-2.3499999999999943
37.98583,23.73232,13,40.099999999999994
37.98410034179688,23.739181518554688,8,-6.5
38.00952,23.73167,-1,-4.0
37.9963,23.7213,-1,-15.400000000000006
37.97843,23.72533,21,-1.25
37.97884,23.74407,10,30.399999999999977
37.97542,23.71359,5,-5.700000000000003
37.95517,23.72469,15,3.700000000000003
37.96215,23.7317,-1,-1.25
37.963,23.72938,19,-6.0
37.96215,23.7317,-1,-0.9500000000000028
37.97382,23.72952,21,-2.3999999999999773
37.99401,23.72862,16,0.09999999999999432
