,property_type,room_type,accommodates,bathrooms,bedrooms,beds,latitude,longitude,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,review_scores_rating,number_of_reviews,minimum_nights,maximum_nights,instant_bookable,cluster_id,is_luxury,is_bathroom_shared,amenity_count,description_sentiment,neighborhood_overview_sentiment,listing_views_ltm,conversion_rate_ltm,average_lead_time,average_booking_duration,is_training_sample,price
340,hotel,Entire home/apt,4,1.0,1.0,1.0,37.97969,23.73117,,,,0,1,,0,1,1125,1,-1,0,0,21,0.18666666666666668,,83,0.0,,,1,205.0
341,condo,Entire home/apt,2,1.0,2.0,2.0,37.96171,23.72482,within an hour,1.0,0.94,1,1,5.0,40,19,59,0,19,0,0,69,0.3272727272727273,0.15310606060606058,82,0.08536585365853659,55.714285714285715,6.428571428571429,1,65.0
342,rental_unit,Entire home/apt,4,1.0,2.0,2.0,38.02096,23.73755,within an hour,1.0,1.0,0,1,5.0,9,2,90,1,-1,0,0,40,0.2903409090909091,0.18,74,0.0,,,1,175.0
343,condo,Entire home/apt,4,1.0,2.0,2.0,38.01202,23.73235,within an hour,1.0,0.99,1,1,4.77,93,1,365,0,2,0,0,45,,-0.041666666666666664,89,0.06741573033707865,50.166666666666664,6.0,1,140.0
344,condo,Entire home/apt,4,1.5,2.0,,37.9644,23.7208,within an hour,1.0,1.0,0,1,5.0,5,3,730,0,19,0,0,47,0.23749999999999996,0.1439814814814815,69,0.0,,,1,210.0
345,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.96629,23.72666,within an hour,1.0,1.0,1,1,5.0,12,1,1125,1,19,0,0,40,0.2976190476190476,-0.02988437001594896,80,0.0,,,1,175.0
346,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.97656,23.72992,within an hour,0.8,1.0,0,1,,0,1,1125,1,21,0,0,12,0.41380952380952385,,74,0.0,,,1,230.0
347,rental_unit,Entire home/apt,2,1.0,0.0,1.0,37.99844,23.74347,within an hour,1.0,0.67,0,1,4.83,6,15,1125,0,-1,0,0,17,0.6,,85,0.0,,,1,65.0
348,rental_unit,Entire home/apt,3,1.0,0.0,4.0,37.98329,23.72837,within an hour,1.0,1.0,0,1,4.67,21,1,1125,1,-1,0,0,24,0.3528138528138528,0.2625,83,0.0,,,1,155.0
349,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.98904,23.76794,within an hour,1.0,0.98,1,1,4.83,12,2,30,1,0,0,0,29,0.12642045454545456,,93,0.010752688172043012,54.0,4.0,1,160.0
350,rental_unit,Entire home/apt,6,1.5,2.0,3.0,37.96747,23.75355,within an hour,1.0,1.0,,1,4.93,44,1,1125,1,3,0,0,49,0.44166666666666665,0.16111111111111112,93,0.010752688172043012,52.0,5.0,1,300.0
351,home,Entire home/apt,4,1.0,1.0,2.0,37.97466,23.72809,within an hour,1.0,1.0,1,1,4.94,161,2,28,1,21,0,0,21,0.39999999999999997,0.05,117,0.1282051282051282,47.46666666666667,5.133333333333334,1,220.0
352,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.96676,23.72855,within an hour,1.0,1.0,0,1,4.76,94,1,1125,1,19,0,0,49,0.25606060606060604,0.14024064171122994,106,0.2358490566037736,58.92,8.08,1,170.0
353,rental_unit,Entire home/apt,4,1.0,1.0,2.0,37.96124,23.72511,within an hour,1.0,1.0,1,1,4.79,402,1,1125,1,19,0,0,39,0.18066378066378067,0.3693181818181818,116,0.3448275862068966,67.4,6.675,1,120.0
