,bin__host_is_superhost,bin__host_identity_verified,bin__instant_bookable,bin__is_luxury,bin__is_bathroom_shared,zero__average_lead_time,zero__average_booking_duration,num__accommodates,num__amenity_count,num__bathrooms,num__bedrooms,num__beds,num__conversion_rate_ltm,num__description_sentiment,num__host_acceptance_rate,num__host_response_rate,num__latitude,num__listing_views_ltm,num__longitude,num__maximum_nights,num__minimum_nights,num__neighborhood_overview_sentiment,num__number_of_reviews,num__review_scores_rating,ohe__property_type_condo,ohe__property_type_home,ohe__property_type_hotel,ohe__property_type_other,ohe__property_type_rental_unit,ohe__room_type_Entire home/apt,ohe__room_type_Hotel room,ohe__room_type_Private room,ohe__room_type_Shared room,ohe__cluster_id_-1,ohe__cluster_id_0,ohe__cluster_id_1,ohe__cluster_id_2,ohe__cluster_id_3,ohe__cluster_id_4,ohe__cluster_id_5,ohe__cluster_id_6,ohe__cluster_id_7,ohe__cluster_id_8,ohe__cluster_id_9,ohe__cluster_id_10,ohe__cluster_id_11,ohe__cluster_id_12,ohe__cluster_id_13,ohe__cluster_id_14,ohe__cluster_id_15,ohe__cluster_id_16,ohe__cluster_id_17,ohe__cluster_id_18,ohe__cluster_id_19,ohe__cluster_id_20,ohe__cluster_id_21,ord__host_response_time,price
30,1.0,1.0,0.0,0.0,0.0,58.8235294117647,8.882352941176471,5.0,40.0,1.0,1.0,2.0,0.1531531531531531,0.1197916666666666,1.0,1.0,38.00282,111.0,23.73032,1125.0,5.0,0.20450779727095514,129.0,4.64,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,110.0
31,1.0,1.0,0.0,0.0,0.0,76.5,8.0,2.0,37.0,1.0,1.0,2.0,0.0246913580246913,0.0742424242424242,0.97,1.0,37.99824,81.0,23.77067,1125.0,5.0,0.0533333333333333,22.0,4.95,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,120.0
32,0.0,1.0,1.0,0.0,0.0,94.5,3.0,4.0,25.0,1.0,0.0,2.0,0.0238095238095238,0.325,1.0,1.0,37.97694,84.0,23.72984,30.0,1.0,0.1137755102040816,192.0,4.9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,240.0
33,0.0,1.0,1.0,0.0,0.0,22.0,2.0,4.0,29.0,1.0,2.0,2.0,0.0114942528735632,0.2166666666666666,1.0,1.0,37.9836659,87.0,23.7608038,365.0,2.0,0.20450779727095514,7.0,4.86,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,160.0
34,1.0,1.0,0.0,0.0,0.0,79.3125,4.6875,2.0,44.0,1.0,0.0,1.0,0.1495327102803738,0.2142857142857142,0.99,1.0,37.96726,107.0,23.73935,60.0,2.0,0.265625,244.0,4.78,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,115.0
35,0.0,1.0,1.0,0.0,0.0,58.3125,7.5625,2.0,34.0,1.0,1.0,2.0,0.1632653061224489,0.2111111111111111,1.0,1.0,37.96671,98.0,23.73459,30.0,2.0,0.1371428571428571,324.0,4.69,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,90.0
36,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,22.0,1.0,0.0,1.0,0.0,-0.0507575757575757,0.98,1.0,37.97855,72.0,23.72352,1125.0,3.0,0.159862012987013,84.0,4.62,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,115.0
37,0.0,1.0,0.0,0.0,0.0,61.5,8.5,5.0,33.0,1.0,1.0,1.0,0.0396039603960396,0.0249999999999999,1.0,0.0,37.99866,101.0,23.72045,1125.0,10.0,0.20450779727095514,108.0,4.54,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
38,1.0,1.0,0.0,0.0,0.0,69.90566037735849,6.735849056603773,2.0,16.0,1.0,1.0,1.0,0.381294964028777,0.1666666666666666,1.0,1.0,37.97486,139.0,23.72639,1125.0,2.0,0.20450779727095514,578.0,4.94,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,110.0
39,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,39.0,1.0,1.0,1.0,0.0,0.2047176308539945,1.0,1.0,37.97777938842773,61.0,23.73192024230957,1125.0,1.0,0.25,92.0,4.76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,225.0
