level,timestamp,model,prediction,real
INFO,2026-01-13 22:13:39,base,161.0677,120.0
INFO,2026-01-13 22:13:39,advanced,65.3000,60.0
INFO,2026-01-13 22:13:39,base,117.7277,70.0
INFO,2026-01-13 22:13:39,base,133.4420,145.0
INFO,2026-01-13 22:13:39,base,167.0730,195.0
INFO,2026-01-13 22:13:39,advanced,175.7500,295.0
INFO,2026-01-13 22:13:39,advanced,65.2500,45.0
INFO,2026-01-13 22:13:39,advanced,183.5000,205.0
INFO,2026-01-13 22:13:39,advanced,147.9000,120.0
INFO,2026-01-13 22:13:39,base,117.7036,100.0
INFO,2026-01-13 22:13:39,base,155.5189,85.0
INFO,2026-01-13 22:13:39,base,99.5712,70.0
INFO,2026-01-13 22:13:39,advanced,192.7000,160.0
INFO,2026-01-13 22:13:39,base,155.0084,130.0
INFO,2026-01-13 22:13:39,advanced,262.4500,170.0
INFO,2026-01-13 22:13:39,base,128.9037,70.0
INFO,2026-01-13 22:13:39,base,200.1292,165.0
INFO,2026-01-13 22:13:39,advanced,191.7000,150.0
INFO,2026-01-13 22:13:39,base,260.7004,205.0
INFO,2026-01-13 22:13:39,base,195.7460,235.0
INFO,2026-01-13 22:13:39,advanced,276.5500,300.0
INFO,2026-01-13 22:13:39,advanced,31.3500,70.0
INFO,2026-01-13 22:13:39,advanced,232.0500,235.0
INFO,2026-01-13 22:13:39,advanced,113.6500,65.0
INFO,2026-01-13 22:13:39,base,162.1692,160.0
INFO,2026-01-13 22:13:39,base,152.1283,150.0
INFO,2026-01-13 22:13:39,base,161.6211,135.0
INFO,2026-01-13 22:13:39,advanced,67.5000,120.0
INFO,2026-01-13 22:13:40,base,198.4980,265.0
INFO,2026-01-13 22:13:40,advanced,71.8500,65.0
INFO,2026-01-13 22:13:40,advanced,111.0000,110.0
INFO,2026-01-13 22:13:40,base,58.8236,135.0
INFO,2026-01-13 22:13:40,advanced,144.7000,95.0
INFO,2026-01-13 22:13:40,base,84.9246,100.0
INFO,2026-01-13 22:13:40,advanced,107.3500,110.0
INFO,2026-01-13 22:13:40,advanced,266.3000,240.0
INFO,2026-01-13 22:13:40,advanced,121.7000,125.0
INFO,2026-01-13 22:13:40,advanced,189.0000,100.0
INFO,2026-01-13 22:13:40,advanced,111.1500,115.0
INFO,2026-01-13 22:13:40,base,182.5986,240.0
INFO,2026-01-13 22:13:40,base,110.7859,115.0
INFO,2026-01-13 22:13:40,advanced,115.2000,90.0
INFO,2026-01-13 22:13:40,base,72.4847,50.0
INFO,2026-01-13 22:13:40,advanced,278.5500,275.0
INFO,2026-01-13 22:13:40,base,163.8620,125.0
INFO,2026-01-13 22:13:40,advanced,175.3500,135.0
INFO,2026-01-13 22:13:40,base,238.6345,350.0
INFO,2026-01-13 22:13:40,base,152.3716,140.0
INFO,2026-01-13 22:13:40,advanced,169.7500,330.0
INFO,2026-01-13 22:13:40,base,173.8412,155.0
INFO,2026-01-13 22:13:40,base,152.7949,250.0
